president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
Joe Biden,Voters,09-29-22,43.45,47.617034,39.283552,52.21,56.30395,48.116494,13:42:53 29 Sep 2022,-8.76,2022-09-29 13:42:53,Sep. 29
Joe Biden,Voters,09-28-22,43.45,47.655858,39.252534,52.2,56.305857,48.102654,18:35:53 28 Sep 2022,-8.75,2022-09-28 18:35:53,Sep. 28
Joe Biden,Voters,09-27-22,43.57,47.660327,39.485466,53.0,56.963205,49.041675,18:32:52 27 Sep 2022,-9.43,2022-09-27 18:32:52,Sep. 27
Joe Biden,Voters,09-26-22,43.55,47.684231,39.425244,52.93,56.942487,48.922983,13:18:52 26 Sep 2022,-9.38,2022-09-26 13:18:52,Sep. 26
Joe Biden,Voters,09-25-22,43.61,47.739633,39.490234,52.9,56.857872,48.940862,12:17:06 25 Sep 2022,-9.28,2022-09-25 12:17:06,Sep. 25
Joe Biden,Voters,09-24-22,43.75,47.807413,39.689982,52.35,56.364895,48.338365,12:29:52 24 Sep 2022,-8.6,2022-09-24 12:29:52,Sep. 24
Joe Biden,Voters,09-23-22,44.06,48.058593,40.058169,52.0,55.963724,48.028215,17:29:04 23 Sep 2022,-7.94,2022-09-23 17:29:04,Sep. 23
Joe Biden,Voters,09-22-22,43.51,47.550588,39.474801,52.52,56.383858,48.650505,10:26:51 22 Sep 2022,-9.0,2022-09-22 10:26:51,Sep. 22
Joe Biden,Voters,09-21-22,43.26,47.300928,39.219677,52.57,56.497813,48.646679,20:14:51 21 Sep 2022,-9.31,2022-09-21 20:14:51,Sep. 21
Joe Biden,Voters,09-20-22,42.95,47.028158,38.864976,52.76,56.806915,48.718891,17:52:50 20 Sep 2022,-9.82,2022-09-20 17:52:50,Sep. 20
Joe Biden,Voters,09-19-22,42.73,46.72467,38.741638,52.51,56.596743,48.430341,09:58:49 19 Sep 2022,-9.78,2022-09-19 09:58:49,Sep. 19
Joe Biden,Voters,09-18-22,42.44,46.433093,38.442415,52.75,56.906953,48.602424,14:52:42 18 Sep 2022,-10.32,2022-09-18 14:52:42,Sep. 18
Joe Biden,Voters,09-16-22,42.44,46.433093,38.442415,52.75,56.906953,48.602424,15:38:49 16 Sep 2022,-10.32,2022-09-16 15:38:49,Sep. 16
Joe Biden,Voters,09-15-22,43.05,46.872915,39.233309,52.82,56.399706,49.244826,09:45:50 15 Sep 2022,-9.77,2022-09-15 09:45:50,Sep. 15
Joe Biden,Voters,09-14-22,42.93,46.754853,39.102518,52.86,56.464871,49.260459,20:44:48 14 Sep 2022,-9.93,2022-09-14 20:44:48,Sep. 14
Joe Biden,Voters,09-13-22,43.34,47.386763,39.287725,52.51,56.105472,48.915415,16:51:02 13 Sep 2022,-9.17,2022-09-13 16:51:02,Sep. 13
Joe Biden,Voters,09-12-22,43.98,47.839118,40.113884,52.22,56.210375,48.229774,09:31:16 12 Sep 2022,-8.24,2022-09-12 09:31:16,Sep. 12
Joe Biden,Voters,09-09-22,43.98,47.839118,40.113884,52.22,56.210375,48.229774,09:48:49  9 Sep 2022,-8.24,2022-09-09 09:48:49,Sep. 09
Joe Biden,Voters,09-08-22,43.85,47.689377,40.019967,52.36,56.376326,48.346287,10:20:54  8 Sep 2022,-8.51,2022-09-08 10:20:54,Sep. 08
Joe Biden,Voters,09-07-22,43.85,47.785001,39.924351,52.37,56.507006,48.230324,19:23:49  7 Sep 2022,-8.51,2022-09-07 19:23:49,Sep. 07
Joe Biden,Voters,09-06-22,43.95,48.03461,39.872932,52.5,56.741488,48.258926,19:14:47  6 Sep 2022,-8.55,2022-09-06 19:14:47,Sep. 06
Joe Biden,Voters,09-05-22,43.57,47.648161,39.500896,52.51,57.007613,48.016966,19:00:12  5 Sep 2022,-8.94,2022-09-05 19:00:12,Sep. 05
Joe Biden,Voters,09-02-22,43.57,47.648161,39.500896,52.51,57.007613,48.016966,12:15:47  2 Sep 2022,-8.94,2022-09-02 12:15:47,Sep. 02
Joe Biden,Voters,09-01-22,43.58,47.55796,39.595843,52.68,56.949481,48.408672,09:45:57  1 Sep 2022,-9.1,2022-09-01 09:45:57,Sep. 01
Joe Biden,Voters,08-31-22,43.47,47.483074,39.461122,52.76,57.074533,48.443327,14:17:46 31 Aug 2022,-9.29,2022-08-31 14:17:46,Aug. 31
Joe Biden,Voters,08-30-22,43.21,47.426888,38.984864,53.25,57.788642,48.706594,18:51:46 30 Aug 2022,-10.04,2022-08-30 18:51:46,Aug. 30
Joe Biden,Voters,08-29-22,43.24,47.48107,38.99438,53.17,57.727955,48.612789,09:46:47 29 Aug 2022,-9.93,2022-08-29 09:46:47,Aug. 29
Joe Biden,Voters,08-28-22,42.74,46.948247,38.537892,53.1,57.768608,48.438047,11:44:31 28 Aug 2022,-10.36,2022-08-28 11:44:31,Aug. 28
Joe Biden,Voters,08-26-22,42.74,46.948247,38.537892,53.1,57.768608,48.438047,21:01:46 26 Aug 2022,-10.36,2022-08-26 21:01:46,Aug. 26
Joe Biden,Voters,08-25-22,42.38,46.626557,38.124816,53.63,58.333893,48.91639,14:50:46 25 Aug 2022,-11.25,2022-08-25 14:50:46,Aug. 25
Joe Biden,Voters,08-24-22,42.27,46.524553,38.023822,53.8,58.520372,49.083146,20:26:45 24 Aug 2022,-11.53,2022-08-24 20:26:45,Aug. 24
